Filename,Additional Info,Target Directory
TRT00027347,C. intersubgeneric hybrid|C. nothosect. Coccitaegus K.I. Chr. & T.A. Dickinson|C. nothoser. Punctaegus K.I. Chr. & T.A. Dickinson,Crataegus ×ninae-celottiae K.I. Chr. & T.A. Dickinson (= Crataegus monogyna Jacq. × C. punctata Jacq.)
TRT00000405,C. intersubgeneric hybrid|C. nothosect. Coccitaegus K.I. Chr. & T.A. Dickinson|C. nothoser. Punctaegus K.I. Chr. & T.A. Dickinson,Crataegus ×ninae-celottiae K.I. Chr. & T.A. Dickinson (= Crataegus monogyna Jacq. × C. punctata Jacq.)
TRT00019182,C. intersubgeneric hybrid|C. nothosect. Coccitaegus K.I. Chr. & T.A. Dickinson|C. nothoser. Punctaegus K.I. Chr. & T.A. Dickinson,Crataegus ×ninae-celottiae K.I. Chr. & T.A. Dickinson (= Crataegus monogyna Jacq. × C. punctata Jacq.)
TRT00003101,C. intersubgeneric hybrid|C. nothosect. Coccitaegus K.I. Chr. & T.A. Dickinson|C. nothoser. Punctaegus K.I. Chr. & T.A. Dickinson,Crataegus ×ninae-celottiae K.I. Chr. & T.A. Dickinson (= Crataegus monogyna Jacq. × C. punctata Jacq.)
TRT00003117,C. intersubgeneric hybrid|C. nothosect. Coccitaegus K.I. Chr. & T.A. Dickinson|C. nothoser. Punctaegus K.I. Chr. & T.A. Dickinson,Crataegus ×ninae-celottiae K.I. Chr. & T.A. Dickinson (= Crataegus monogyna Jacq. × C. punctata Jacq.)
TRT00003102,C. intersubgeneric hybrid|C. nothosect. Coccitaegus K.I. Chr. & T.A. Dickinson|C. nothoser. Punctaegus K.I. Chr. & T.A. Dickinson,Crataegus ×ninae-celottiae K.I. Chr. & T.A. Dickinson (= Crataegus monogyna Jacq. × C. punctata Jacq.)
TRT00003118,C. intersubgeneric hybrid|C. nothosect. Coccitaegus K.I. Chr. & T.A. Dickinson|C. nothoser. Punctaegus K.I. Chr. & T.A. Dickinson,Crataegus ×ninae-celottiae K.I. Chr. & T.A. Dickinson (= Crataegus monogyna Jacq. × C. punctata Jacq.)
TRT00000411,C. intersubgeneric hybrid|C. nothosect. Coccitaegus K.I. Chr. & T.A. Dickinson|C. nothoser. Punctaegus K.I. Chr. & T.A. Dickinson,Crataegus ×ninae-celottiae K.I. Chr. & T.A. Dickinson (= Crataegus monogyna Jacq. × C. punctata Jacq.)
TRT00016239,C. intersubgeneric hybrid|C. nothosect. Coccitaegus K.I. Chr. & T.A. Dickinson|C. nothoser. Punctaegus K.I. Chr. & T.A. Dickinson,Crataegus ×ninae-celottiae K.I. Chr. & T.A. Dickinson (= Crataegus monogyna Jacq. × C. punctata Jacq.) (?)
TRT00021449,C. intersubgeneric hybrid|C. nothosect. Coccitaegus K.I. Chr. & T.A. Dickinson|C. nothoser. Punctaegus K.I. Chr. & T.A. Dickinson,Crataegus ×ninae-celottiae K.I. Chr. & T.A. Dickinson (= Crataegus monogyna Jacq. × C. punctata Jacq.) (cf.)
TRT00017479,C. intersubgeneric hybrid|C. nothosect. Cratae-mespilus T.A.Dickinson & E.Y.Y.Lo|C. unplaced interserial hybrid,Crataegus oxyacantha × Mespilus germanica
TRT00001896,C. intersubgeneric hybrid|C. nothosect. Crataeglasia K.I. Chr. & T.A. Dickinson|C. nothoser. Crataeglasianae K.I. Chr. & T.A. Dickinson,Crataegus ×cogswellii K.I. Chr. & T.A. Dickinson (= Crataegus suksdorfii (Sarg.) Kruschke × C. monogyna Jacq.)
TRT00020345,C. intersubgeneric hybrid|C. nothosect. Crataeglasia K.I. Chr. & T.A. Dickinson|C. nothoser. Crataeglasianae K.I. Chr. & T.A. Dickinson,Crataegus ×cogswellii K.I. Chr. & T.A. Dickinson (= Crataegus suksdorfii (Sarg.) Kruschke × C. monogyna Jacq.)
TRT00002683,C. intersubgeneric hybrid|C. nothosect. Crataeglasia K.I. Chr. & T.A. Dickinson|C. nothoser. Crataeglasianae K.I. Chr. & T.A. Dickinson,Crataegus ×cogswellii K.I. Chr. & T.A. Dickinson (= Crataegus suksdorfii (Sarg.) Kruschke × C. monogyna Jacq.)
TRT00002684,C. intersubgeneric hybrid|C. nothosect. Crataeglasia K.I. Chr. & T.A. Dickinson|C. nothoser. Crataeglasianae K.I. Chr. & T.A. Dickinson,Crataegus ×cogswellii K.I. Chr. & T.A. Dickinson (= Crataegus suksdorfii (Sarg.) Kruschke × C. monogyna Jacq.)
TRT00002685,C. intersubgeneric hybrid|C. nothosect. Crataeglasia K.I. Chr. & T.A. Dickinson|C. nothoser. Crataeglasianae K.I. Chr. & T.A. Dickinson,Crataegus ×cogswellii K.I. Chr. & T.A. Dickinson (= Crataegus suksdorfii (Sarg.) Kruschke × C. monogyna Jacq.)
TRT00002686,C. intersubgeneric hybrid|C. nothosect. Crataeglasia K.I. Chr. & T.A. Dickinson|C. nothoser. Crataeglasianae K.I. Chr. & T.A. Dickinson,Crataegus ×cogswellii K.I. Chr. & T.A. Dickinson (= Crataegus suksdorfii (Sarg.) Kruschke × C. monogyna Jacq.)
TRT00002689,C. intersubgeneric hybrid|C. nothosect. Crataeglasia K.I. Chr. & T.A. Dickinson|C. nothoser. Crataeglasianae K.I. Chr. & T.A. Dickinson,Crataegus ×cogswellii K.I. Chr. & T.A. Dickinson (= Crataegus suksdorfii (Sarg.) Kruschke × C. monogyna Jacq.)
TRT00002690,C. intersubgeneric hybrid|C. nothosect. Crataeglasia K.I. Chr. & T.A. Dickinson|C. nothoser. Crataeglasianae K.I. Chr. & T.A. Dickinson,Crataegus ×cogswellii K.I. Chr. & T.A. Dickinson (= Crataegus suksdorfii (Sarg.) Kruschke × C. monogyna Jacq.)
TRT00002555,C. intersubgeneric hybrid|C. nothosect. Crataeglasia K.I. Chr. & T.A. Dickinson|C. nothoser. Crataeglasianae K.I. Chr. & T.A. Dickinson,Crataegus ×cogswellii K.I. Chr. & T.A. Dickinson (= Crataegus suksdorfii (Sarg.) Kruschke × C. monogyna Jacq.)
TRT00002556,C. intersubgeneric hybrid|C. nothosect. Crataeglasia K.I. Chr. & T.A. Dickinson|C. nothoser. Crataeglasianae K.I. Chr. & T.A. Dickinson,Crataegus ×cogswellii K.I. Chr. & T.A. Dickinson (= Crataegus suksdorfii (Sarg.) Kruschke × C. monogyna Jacq.)
TRT00002557,C. intersubgeneric hybrid|C. nothosect. Crataeglasia K.I. Chr. & T.A. Dickinson|C. nothoser. Crataeglasianae K.I. Chr. & T.A. Dickinson,Crataegus ×cogswellii K.I. Chr. & T.A. Dickinson (= Crataegus suksdorfii (Sarg.) Kruschke × C. monogyna Jacq.)
TRT00002565,C. intersubgeneric hybrid|C. nothosect. Crataeglasia K.I. Chr. & T.A. Dickinson|C. nothoser. Crataeglasianae K.I. Chr. & T.A. Dickinson,Crataegus ×cogswellii K.I. Chr. & T.A. Dickinson (= Crataegus suksdorfii (Sarg.) Kruschke × C. monogyna Jacq.)
TRT00002566,C. intersubgeneric hybrid|C. nothosect. Crataeglasia K.I. Chr. & T.A. Dickinson|C. nothoser. Crataeglasianae K.I. Chr. & T.A. Dickinson,Crataegus ×cogswellii K.I. Chr. & T.A. Dickinson (= Crataegus suksdorfii (Sarg.) Kruschke × C. monogyna Jacq.)
TRT00002568,C. intersubgeneric hybrid|C. nothosect. Crataeglasia K.I. Chr. & T.A. Dickinson|C. nothoser. Crataeglasianae K.I. Chr. & T.A. Dickinson,Crataegus ×cogswellii K.I. Chr. & T.A. Dickinson (= Crataegus suksdorfii (Sarg.) Kruschke × C. monogyna Jacq.)
TRT00002570,C. intersubgeneric hybrid|C. nothosect. Crataeglasia K.I. Chr. & T.A. Dickinson|C. nothoser. Crataeglasianae K.I. Chr. & T.A. Dickinson,Crataegus ×cogswellii K.I. Chr. & T.A. Dickinson (= Crataegus suksdorfii (Sarg.) Kruschke × C. monogyna Jacq.)
TRT00002571,C. intersubgeneric hybrid|C. nothosect. Crataeglasia K.I. Chr. & T.A. Dickinson|C. nothoser. Crataeglasianae K.I. Chr. & T.A. Dickinson,Crataegus ×cogswellii K.I. Chr. & T.A. Dickinson (= Crataegus suksdorfii (Sarg.) Kruschke × C. monogyna Jacq.)
TRT00002572,C. intersubgeneric hybrid|C. nothosect. Crataeglasia K.I. Chr. & T.A. Dickinson|C. nothoser. Crataeglasianae K.I. Chr. & T.A. Dickinson,Crataegus ×cogswellii K.I. Chr. & T.A. Dickinson (= Crataegus suksdorfii (Sarg.) Kruschke × C. monogyna Jacq.)
TRT00002573,C. intersubgeneric hybrid|C. nothosect. Crataeglasia K.I. Chr. & T.A. Dickinson|C. nothoser. Crataeglasianae K.I. Chr. & T.A. Dickinson,Crataegus ×cogswellii K.I. Chr. & T.A. Dickinson (= Crataegus suksdorfii (Sarg.) Kruschke × C. monogyna Jacq.)
